"(130M)FALCON-2A.1(QK-ℓ -norm,ctxβ-ctxλ)
2",66.05,37.27,50.67,57.62,27.65,31.60,38.95,81.10,48.86
"(130M)FALCON-2A.2(QK-ℓ -norm,ctxη-ctxλ)
2",67.03,37.29,52.33,57.37,25.94,33.20,38.84,82.40,49.30
"(130M)FALCON-2A.3(QK-RMSNorm,ctxη-ctxλ)",66.10,37.55,50.12,59.01,26.79,32.00,37.82,82.20,48.95
