"FALCON-3A.3 (QK-RMSNorm, ctxη-ctxλ)",2000,99.9,87.2,100.0/69.0
"FALCON-2A.3 (QK-RMSNorm, ctxη-ctxλ)",1900,99.8,85.9,100.0/69.0
"FALCON-2A.2 (QK-ℓ -norm, ctxη-ctxλ)
2",2000,100.0,85.2,100.0/63.0
"FALCON-3A.1 (QK-ℓ -norm, ctxβ-ctxλ)
2",1900,100.0,83.7,100.0/63.0
"FALCON-2A.1 (QK-ℓ -norm, ctxβ-ctxλ)
2",1900,100.0,80.6,100.0/59.0
"FALCON-3A.2 (QK-ℓ -norm, ctxη-ctxλ)
2",2000,100.0,78.8,99.0/56.0
