"(130M) FALCON-2A.1 (QK-ℓ -norm, ctxβ-ctxλ)
2",34.41,47.93,17.70
"(130M) FALCON-2A.2 (QK-ℓ -norm, ctxη-ctxλ)
2",34.20,51.01,17.70
"(130M) FALCON-2A.3 (QK-RMSNorm, ctxη-ctxλ)",34.02,49.84,17.64
