"(130M)FALCON-2A.1(QK-ℓ -norm,ctxβ-ctxλ)
2",66.81,37.41,50.75,57.53,27.99,32.40,37.92,81.80,49.08
"(130M)FALCON-2A.2(QK-ℓ -norm,ctxη-ctxλ)
2",66.38,36.97,52.96,57.32,27.82,31.40,37.56,83.20,49.20
"(130M)FALCON-2A.3(QK-RMSNorm,ctxη-ctxλ)",65.78,37.22,49.72,58.88,27.73,31.40,37.97,82.40,48.89
